Name,Frequency
BIF_GND,121.600
BIF_TWR,127.900
BGR_DEL-,135.900
BFI_DEL,132.400
BET_GND,121.700
BIL_GND,121.900
BGBW_I_TWR,119.100
BDL_W_APP-,125.350
BIIS_I_TWR,118.800
BHM_N_APP,127.675
BGR_GND-,121.900
BIBD_I_TWR,119.100
BIAR_APP,118.700
BGSF_TWR,118.300
BIVO_I_TWR,118.100
BN-KEN_CTR,120.150
BN-ISA_CTR,125.700
BN-CNK_CTR,123.400
BN_GND,121.700
BN-INL_CTR,134.200
BKH_GND,124.200
BN-WEG_CTR,132.450
BN-S_DEP,118.450
BLV_DEL,119.870
BKH_TWR,126.200
BK_TWR,132.800
BIRD_E3_CTR,128.800
BIRD_S2_CTR,125.700
BMG_GC_GND,121.900
BN-OCN_CTR,128.600
BNA_2_TWR,132.350
BIRD_E2_CTR,132.200
BIRD_S1_CTR,119.700
BN-TSN_FSS,17.904
BIRK_GND,121.700
BIS_W_APP,124.800
BKL_GND,121.900
BN-R_DEP,119.500
BN-W_TWR,118.000
BN-HWE_CTR,124.950
BN-TRS_CTR,133.200
BMG_LC_TWR,120.775
BKL_TWR,124.300
BN_DEL,118.850
BK_GND,119.900
BLV_TWR,128.250
BN_APP,124.700
BIS_TWR,118.300
BN-STR_CTR,134.400
BN-S_APP,125.600
BJC_TWR,118.600
BN-N_GND,124.050
BN-F_APP,119.250
BN-BAR_CTR,123.800
BN-C_APP,123.500
BLV_GND,119.200
BKPR_ATIS,134.385
BN-DOS_CTR,135.600
BN_DEP,133.450
BJC_DEL,132.600
BIRK_APP,119.000
BKF_TWR,121.000
BN-MNN_CTR,130.100
BN-ASH_CTR,133.400
BK-C_TWR,123.600
BKF_GND,121.600
BN-ARE_CTR,127.600
BIRD_W1_CTR,124.400
BN-GOL_CTR,130.400
BN-KPL_CTR,125.900
BN-WIL_CTR,127.600
BN-FLD_FSS,13.318
BKPR_APP,125.980
BN-ARL_CTR,130.900
BITN_I_TWR,118.100
BIRK_TWR,118.000
BNA_1_TWR,118.600
BN-MLD_CTR,132.350
BN-TRT_CTR,123.850
BN_TWR,120.500
BIVM_I_TWR,118.500
BN-SWY_CTR,133.200
BN-TBP_CTR,120.550
BLI_GND,127.400
BN-S_GND,122.250
BIRD_W3_CTR,128.200
BN-ARA_CTR,133.700
BIS_GND,121.900
BKV_GND,121.400
BN-BUR_CTR,123.000
BN-NSA_CTR,124.100
BN-GRN_CTR,120.300
BN-KIY_CTR,132.100
BKPR_GND,128.830
BMI_GND,121.650
BKV_TWR,118.550
BIRD_W2_CTR,127.500
BN-SDY_CTR,134.300
BIS_E_APP,126.300
BN-MDE_CTR,133.000
BIRD_S3_CTR,128.600
BJC_GND,121.700
BN-COL_FSS,6.556
BIX_GND,121.800
BN-CVN_CTR,133.800
BLI_TWR,124.900
BIX_TWR,120.750
BMI_TWR,124.600
BN-LHI_CTR,124.950
BKPR_TWR,126.550
BOS_33_CTR-,135.800
BRO_TWR,118.900
BOS_CTR-,134.700
BOS_N_GND-,134.050
BOS_17_CTR-,133.450
BRW_F_TWR,123.600
BRM_GND,121.700
BOS_32_CTR-,135.800
BOS_W_CTR-,123.750
BNA_DEL,126.050
BOS_DEL-,121.650
BOS_49_CTR-,132.300
BOS_E_TWR-,132.225
BOS_19_CTR-,134.000
BOS_I_APP-,119.650
BOS_H_CTR-,126.225
BOS_38_CTR-,135.325
BNA_Y_DEP,118.400
BOS_16_CTR-,128.200
BOS_09_CTR-,123.875
BOS_R_GND-,131.850
BOI_N_APP,126.900
BTL_TWR,126.825
BOS_18_CTR-,128.750
BOS_52_CTR-,135.700
BOS_34_CTR-,124.850
BOS_HW_CTR-,124.125
BOS_47_CTR-,133.425
BOS_W_TWR-,128.800
BTR_DEL,119.400
