SID:040,3,TOBBY7,BUTOS,PANSY,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,3,TOBBY7,BUTOS,BUTOS,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,TOBBY7,PANSY,TOBBY,RJ,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,3,TOBBY7,PANSY,NOHEY,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,TOBBY7,PANSY,APIOS,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,TOBBY7,PANSY,PANSY,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ZYT3R,RW18B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1830,    ,+,00600,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ZYT3R,RW18B, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,0460,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ZYT3R,RW18B,ZYT,RJ,D, ,V   , ,   ,FD, ,ZYT,RJ,D, ,      ,0000,0000,0910,0150,-,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,ZYT3R,RW18B, , , , ,    , ,   ,CD, ,ZYT,RJ,D, ,      ,    ,    ,0910,0200, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,ZYT3R,RW18B,ZYT,RJ,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ZYT3R,RW36B, , , , ,    , ,   ,CD, ,ZYT,RJ,D, ,      ,    ,    ,3600,0150, ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ZYT3R,RW36B,ZYT,RJ,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,KOMAIE,RW36B,MKE,RJ,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,KOMAIE,RW36B,MKE08,RJ,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,KOMAIE,RW36B, , , , ,    , ,   ,VR, ,MKE,RJ,D, ,      ,2210,    ,2700,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:035,2,KOMAIE,RW36B, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2700,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,KOMAIE,RW36B,KOMAI,RJ,P,C,EE  ,R,   ,CF, ,CHE,RJ,D, ,      ,1816,0165,0010,0020, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,KOMAIW,RW36B,NAVER,RJ,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,KOMAIW,RW36B,D201V,RJ,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,KOMAIW,RW36B,KOMAI,RJ,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
