APPCH:010,A,R28-M,JESIE,JESIE,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,P,S;
APPCH:020,A,R28-M,JESIE,HIPNA,K2,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12200,     ,     ,-,210,    ,   , , , , , ,A,P,S;
APPCH:030,A,R28-M,JESIE,ESUPE,K2,P,C,E   , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,10500,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:040,A,R28-M,JESIE,OSOBE,K2,P,C,E   , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,09500,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:050,A,R28-M,JESIE,ROVIE,K2,P,C,EE  , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,08800,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:010,A,R28-M,TILLI,TILLI,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,230,    ,   , , , , , ,A,P,S;
APPCH:020,A,R28-M,TILLI,HIPNA,K2,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12200,     ,     ,-,210,    ,   , , , , , ,A,P,S;
APPCH:030,A,R28-M,TILLI,ESUPE,K2,P,C,E   , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,10500,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:040,A,R28-M,TILLI,OSOBE,K2,P,C,E   , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,09500,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:050,A,R28-M,TILLI,ROVIE,K2,P,C,EE  , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,08800,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:010,A,R28-M,UYRAG,UYRAG,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,P,S;
APPCH:020,A,R28-M,UYRAG,TUSKK,K2,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12900,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:030,A,R28-M,UYRAG,HIPNA,K2,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12200,     ,     ,-,210,    ,   , , , , , ,A,P,S;
APPCH:040,A,R28-M,UYRAG,ESUPE,K2,P,C,E   , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,10500,     ,     , ,   ,    ,   , , , , , ,A,P,S;
APPCH:050,A,R28-M,UYRAG,OSOBE,K2,P,C,E   , ,502,TF, , , , , ,      ,    ,    ,    ,    ,+,09500,     ,     , ,   ,    ,   , , , , , ,A,P,S;
