SID:005,4,DOTA1J,RW23R,DE23R,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:010,4,DOTA1J,RW23R,AA203,UA,P,C,EB  , ,   ,CF, ,ATA,UA,D, ,      ,2318,0067,2310,0034,+,03500,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,5,DOTA1J, ,AA203,UA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,10000,-,240,    ,   ,ATA,UA,D, , , , , ;
SID:020,5,DOTA1J, ,AA208,UA,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DOTA1J, ,AA209,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DOTA1J, ,AA039,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:045,5,DOTA1J, ,AA281,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DOTA1J, ,AA080,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:055,5,DOTA1J, ,AA280,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,DOTA1J, ,DOTAL,UA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL250,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,4,EKLA1B,RW05L,DE05L,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:010,4,EKLA1B,RW05L,AA008,UA,P,C,EB  , ,   ,CF, ,ATA,UA,D, ,      ,0490,0035,0510,0040,+,03300,     ,     ,-,240,    ,   , , , , , , , , ;
SID:005,4,EKLA1B,RW05R,DE05R,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:010,4,EKLA1B,RW05R,AA008,UA,P,C,EB  , ,   ,CF, ,ATA,UA,D, ,      ,0490,0035,0510,0047,+,03300,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,5,EKLA1B, ,AA008,UA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03300,     ,10000,-,240,    ,   ,ATA,UA,D, , , , , ;
