STAR:020,5,BUDS1M,RW18L,MM506,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,BUDS1M,RW18L,EDKUV,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02810,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,BUDS1N,RW18R,BUDSI,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,BUDS1N,RW18R,MM506,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,BUDS1N,RW18R,MOLOP,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,EDGO1M,RW18L,EDGOT,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,EDGO1M,RW18L,VOXOX,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,EDGO1M,RW18L,ULNED,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     ,-,240,    ,   , , , , , , , , ;
STAR:040,5,EDGO1M,RW18L,RURBA,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,EDGO1M,RW18L,NULEG,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,EDGO1M,RW18L,USRAB,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,EDGO1M,RW18L,OVNIK,DN,P,C,E  H,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,230,    ,   , , , , , , , , ;
STAR:080,5,EDGO1M,RW18L,EDKUV,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02810,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,EDGO1N,RW18R,EDGOT,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,EDGO1N,RW18R,VOXOX,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,EDGO1N,RW18R,ULNED,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     ,-,240,    ,   , , , , , , , , ;
STAR:040,5,EDGO1N,RW18R,RURBA,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,EDGO1N,RW18R,NULEG,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,EDGO1N,RW18R,USRAB,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,EDGO1N,RW18R,OVNIK,DN,P,C,E  H,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,230,    ,   , , , , , , , , ;
STAR:080,5,EDGO1N,RW18R,MOLOP,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,ERSE1M,RW18L,ERSED,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,ERSE1M,RW18L,ARIXI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ERSE1M,RW18L,EPEXI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     ,-,240,    ,   , , , , , , , , ;
STAR:040,5,ERSE1M,RW18L,VORDI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,ERSE1M,RW18L,XUSRA,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,ERSE1M,RW18L,XUVET,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,ERSE1M,RW18L,OVNIK,DN,P,C,E  H,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,5,ERSE1M,RW18L,EDKUV,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02810,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,ERSE1N,RW18R,ERSED,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,ERSE1N,RW18R,ARIXI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ERSE1N,RW18R,EPEXI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     ,-,240,    ,   , , , , , , , , ;
STAR:040,5,ERSE1N,RW18R,VORDI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,ERSE1N,RW18R,XUSRA,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,ERSE1N,RW18R,XUVET,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,ERSE1N,RW18R,OVNIK,DN,P,C,E  H,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,5,ERSE1N,RW18R,MOLOP,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,ETVO1N,RW18R,ETVOV,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,ETVO1N,RW18R,MM503,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ETVO1N,RW18R,EBSEX,DN,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,ETVO1N,RW18R,MOLOP,DN,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,03500,     ,     ,-,200,    ,   , , , , , , , , ;
STAR:010,5,GUMO1M,RW18L,GUMOM,DN,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,LAG,DN,D, , , , , ;
STAR:020,5,GUMO1M,RW18L,EPEXI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     ,-,240,    ,   , , , , , , , , ;
STAR:030,5,GUMO1M,RW18L,VORDI,DN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
