SID:030,4,LAM71D,RW36L,SS503,ZS,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,LAM71D,RW36L,SS504,ZS,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,LAM71D,RW36R,DE36R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,LAM71D,RW36R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,LAM71D,RW36R,SS503,ZS,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,LAM71D,RW36R,SS504,ZS,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LAM71D, ,SS504,ZS,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,5,LAM71D, ,SS303,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06890,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,LAM71D, ,SS211,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,LAM71D, ,PD409,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL148,FL118,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LAM71D, ,PD024,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,LAM71D, ,PD304,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,LAM71D, ,LASAN,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,LAM71D, ,BONGI,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,LAM71D, ,BOLEX,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,LAM71D, ,TONIX,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:110,5,LAM71D, ,LAMEN,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,4,LAM73D,RW36L,DE36L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,LAM73D,RW36L,SF1,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,0033,0137,0040,0140,+,03940,     ,     ,-,250,    ,   , , , , , , , , ;
SID:005,4,LAM73D,RW36R,DE36R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,LAM73D,RW36R,SF1,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,0033,0137,0030,0140,+,03940,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,LAM73D, ,SF1,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03940,     ,     ,-,250,    ,   ,SHA,ZS,D, , , , , ;
SID:030,5,LAM73D, ,PD503,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,LAM73D, ,EKVUT,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,LAM73D, ,MATNU,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,LAM73D, ,EMSAN,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,LAM73D, ,SURAK,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,LAM73D, ,LAMEN,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MIG21D,RW36B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0030,    ,+,00410,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,2,MIG21D,RW36B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,0030,0016, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MIG21D,RW36B,JTN,ZS,D, ,V   ,L,   ,CF,Y,JTN,ZS,D, ,      ,0000,0000,1530,0070,+,03940,     ,     ,-,250,    ,   , , , , , , , , ;
SID:040,2,MIG21D,RW36B,XSY,ZS,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,MIG21D,RW36B,NINAS,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,MIG21D,RW36B,LASAN,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,MIG21D,RW36B,BONGI,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,MIG21D,RW36B,BOLEX,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:085,2,MIG21D,RW36B,MIGOL,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,MIG31D,RW18B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,1830,0044, ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:010,2,MIG31D,RW18B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,1830,0075, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,MIG31D,RW18B,PDL,ZS,D, ,V   ,L,   ,CF, ,PDL,ZS,D, ,      ,0000,0000,0780,0150,+,04930,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,2,MIG31D,RW18B,NINAS,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MIG31D,RW18B,LASAN,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,MIG31D,RW18B,BONGI,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,MIG31D,RW18B,BOLEX,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,MIG31D,RW18B,MIGOL,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MIG61D,RW18L,DE18L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,MIG61D,RW18L,SS301,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,1843,0114,1840,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MIG61D,RW18R,DE18R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,MIG61D,RW18R,SS301,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,1843,0114,1830,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MIG61D, ,SS301,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,5,MIG61D, ,SS211,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02960,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,MIG61D, ,PD024,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,05910,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,MIG61D, ,PD304,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,MIG61D, ,LASAN,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,MIG61D, ,BONGI,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,MIG61D, ,BOLEX,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,MIG61D, ,MIGOL,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MIG71D,RW36L,DE36L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,MIG71D,RW36L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,MIG71D,RW36L,SS503,ZS,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,MIG71D,RW36L,SS504,ZS,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,MIG71D,RW36R,DE36R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,MIG71D,RW36R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,MIG71D,RW36R,SS503,ZS,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,MIG71D,RW36R,SS504,ZS,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,MIG71D, ,SS504,ZS,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:030,5,MIG71D, ,SS303,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06890,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,MIG71D, ,SS211,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,MIG71D, ,PD409,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL148,FL118,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,MIG71D, ,PD024,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,MIG71D, ,PD304,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,MIG71D, ,LASAN,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,MIG71D, ,BONGI,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,MIG71D, ,BOLEX,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:110,5,MIG71D, ,MIGOL,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,NXD21D,RW36B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0030,    ,+,00410,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:010,2,NXD21D,RW36B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,0030,0016, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,NXD21D,RW36B,CGT,ZS,D, ,V   ,L,   ,CF, ,CGT,ZS,D, ,      ,0000,0000,2310,0050, ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,2,NXD21D,RW36B,OLGAP,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NXD21D,RW36B,LURMA,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,NXD21D,RW36B,NXD,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NXD31D,RW18B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,1830,0044, ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,2,NXD31D,RW18B,OLGAP,ZS,E,A,E C , ,   ,CF, ,SHA,ZS,D, ,      ,2330,0130,2590,0100,+,02960,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,2,NXD31D,RW18B,LURMA,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NXD31D,RW18B,NXD,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,NXD61D,RW18L,DE18L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,NXD61D,RW18L,SS301,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,1843,0114,1840,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,NXD61D,RW18R,DE18R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,NXD61D,RW18R,SS301,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,1843,0114,1830,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,NXD61D, ,SS301,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,5,NXD61D, ,SS302,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,04930,02960,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,NXD61D, ,SS303,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,NXD61D, ,NXD,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,NXD71D,RW36L,DE36L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,NXD71D,RW36L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,NXD71D,RW36L,SS503,ZS,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,NXD71D,RW36L,SS504,ZS,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,NXD71D,RW36R,DE36R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,NXD71D,RW36R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,NXD71D,RW36R,SS503,ZS,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,01970,     ,-,220,    ,   , , , , , , , , ;
SID:040,4,NXD71D,RW36R,SS504,ZS,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,NXD71D, ,SS504,ZS,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:030,5,NXD71D, ,SS303,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06890,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,NXD71D, ,NXD,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PIK21D,RW36B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0030,    ,+,00410,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,2,PIK21D,RW36B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,0030,0016, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PIK21D,RW36B,PK,ZS,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PIK21D,RW36B,POMOK,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02960,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,PIK21D,RW36B,PIKAS,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PIK31D,RW18B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,1830,0044, ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,2,PIK31D,RW18B,CGT,ZS,D, ,V   ,R,   ,CF,Y,CGT,ZS,D, ,      ,0000,0000,3280,0060,+,01970,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,2,PIK31D,RW18B,POMOK,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PIK31D,RW18B,PIKAS,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,PIK61D,RW18L,DE18L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,PIK61D,RW18L,SS301,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,1843,0114,1840,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,PIK61D,RW18R,DE18R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,PIK61D,RW18R,SS301,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,1843,0114,1830,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,PIK61D, ,SS301,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,5,PIK61D, ,SS302,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,04930,02960,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,PIK61D, ,SS303,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,PIK61D, ,SS304,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,PIK61D, ,SS305,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08860,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,PIK61D, ,EKIMU,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,PIK61D, ,POMOK,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,PIK61D, ,SS306,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL118,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,PIK61D, ,SS320,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,PIK61D, ,PIKAS,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,PIK71D,RW36L,DE36L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,PIK71D,RW36L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,PIK71D,RW36L,SS502,ZS,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,02960,     ,-,250,    ,   , , , , , , , , ;
SID:010,4,PIK71D,RW36R,DE36R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,PIK71D,RW36R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0030,    ,+,00660,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,PIK71D,RW36R,SS502,ZS,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,04930,02960,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,PIK71D, ,SS502,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,04930,02960,     ,-,250,    ,   ,SHA,ZS,D, , , , , ;
SID:020,5,PIK71D, ,POMOK,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,PIK71D, ,SS320,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,PIK71D, ,PIKAS,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,4,PIK72D,RW36L,DE36L,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,PIK72D,RW36L,SS501,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,0003,0038,0030,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,4,PIK72D,RW36R,DE36R,ZS,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,4,PIK72D,RW36R,SS501,ZS,P,C,EE  , ,   ,CF, ,SHA,ZS,D, ,      ,0003,0038,3600,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,PIK72D, ,SS501,ZS,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,5,PIK72D, ,SS502,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,04930,02960,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,PIK72D, ,POMOK,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,PIK72D, ,SS320,ZS,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL197,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,PIK72D, ,PIKAS,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PON21D,RW36B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0030,    ,+,00410,     ,     , ,   ,    ,   ,SHA,ZS,D, , , , , ;
SID:020,2,PON21D,RW36B, , , , ,    , ,   ,CD, ,SHA,ZS,D, ,      ,    ,    ,0030,0016, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PON21D,RW36B,JTN,ZS,D, ,V   ,L,   ,CF,Y,JTN,ZS,D, ,      ,0000,0000,1530,0070,+,03940,     ,     ,-,250,    ,   , , , , , , , , ;
SID:040,2,PON21D,RW36B,XSY,ZS,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
