SID:020,4,WELLY4,RW10L,SMGLR,K7,P,C,E   , ,   ,CF, ,FLL,K7,D, ,      ,0208,0407,0700,0049, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,WELLY4,RW10L,SMGLR,K7,P,C,E   , ,   ,FM, ,FLL,K7,D, ,      ,0208,0407,1100,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,WELLY4,RW10L,SLAAM,K7,E,A,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,WELLY4,RW14, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1410,    ,+,00520,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,4,WELLY4,RW14, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,1410,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,WELLY4,RW14,SLAAM,K7,E,A,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,WELLY4,RW28R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2790,    ,+,00520,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,4,WELLY4,RW28R,CRYER,K7,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,WELLY4,RW28R,MYZNR,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,WELLY4,RW28R,SLAAM,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,WELLY4,RW32, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,3210,    , ,     ,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,4,WELLY4,RW32,CRYER,K7,E,A,E   , ,   ,CF, ,FLL,K7,D, ,      ,0028,0367,2640,0048, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,WELLY4,RW32,MYZNR,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,WELLY4,RW32,SLAAM,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,WELLY4, ,SLAAM,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,KPBI,K7,P,A, , , , ;
SID:020,5,WELLY4, ,WELLY,K7,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,CLMNT2,BISKS,BISKS,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,CLMNT2,BISKS,HEMSI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,CLMNT2,BISKS,CLMNT,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,CLMNT2,CRANS,CRANS,K7,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,CLMNT2,CRANS,BISKS,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,CLMNT2,CRANS,HEMSI,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,15000,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,CLMNT2,CRANS,CLMNT,K7,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,11000,09000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,CLMNT2,DULEE,DULEE,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,CLMNT2,DULEE,CRANS,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,CLMNT2,DULEE,BISKS,K7,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
