STAR:010,2,CCS2A,RW31,CCS,LE,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:020,A,T13,TBC30,TBC27,LE,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,T13,TBC30,TBC,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,T13,TBC30,D355I,LE,P,C,E   , ,   ,CF, ,TBC,LE,D, ,      ,3550,0090,3550,0090, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,T13,TBC30,D305I,LE,P,C,E   ,L,   ,AF, ,TBC,LE,D, ,      ,3050,0090,3550,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,A,T13,TBC30,FT13,LE,P,C,EE  , ,   ,CF, ,TBC,LE,D, ,      ,3050,0060,1250,0030,+,02100,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T13, ,FT13,LE,P,C,E  F, ,   ,IF, ,TBC,LE,D, ,      ,3050,0060,    ,    ,+,02100,     ,     , ,   ,    ,   ,TBC,LE,D, , ,0,D,S;
APPCH:030,T,T13, ,MT13,LE,P,C,E  M, ,   ,CF, ,TBC,LE,D, ,      ,3050,0025,1250,0035, ,01151,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,T,T13, ,TBC,LE,D, ,V M , ,   ,CF, ,TBC,LE,D, ,      ,0000,0000,1250,0025,+,01500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T13, ,TBC,LE,D, ,VE  , ,   ,FM, ,TBC,LE,D, ,      ,0000,0000,0400,    , ,01750,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,T31,NIMAS,NIMAS,LE,E,A,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T31,NIMAS,TB17A,LE,P,C,E   , ,   ,CF, ,TBC,LE,D, ,      ,0860,0170,2670,0031, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,T31,NIMAS, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2670,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,T31,NIMAS,CT31,LE,P,C,EE B,R,   ,AF, ,TBC,LE,D, ,      ,1270,0150,0870,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,T31,VASOR,VASOR,LE,E,A,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T31,VASOR,TB17B,LE,P,C,E   , ,   ,CF, ,TBC,LE,D, ,      ,1760,0170,3560,0031, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,T31,VASOR, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3560,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,T31,VASOR,CT31,LE,P,C,EE B,L,   ,AF, ,TBC,LE,D, ,      ,1270,0150,1760,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,T,T31, ,CT31,LE,P,C,E  I, ,   ,IF, ,TBC,LE,D, ,      ,1270,0150,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T31, ,FF31,LE,P,C,E  F, ,   ,CF, ,TBC,LE,D, ,      ,1273,0080,3070,0070,+,03000,     ,     , ,   ,    ,   ,TBC,LE,D, , ,0,D,S;
APPCH:030,T,T31, ,MT31,LE,P,C,E  M, ,   ,CF, ,TBC,LE,D, ,      ,1270,0013,3070,0067, ,00858,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,T,T31, ,TBC,LE,D, ,V M , ,   ,CF, ,TBC,LE,D, ,      ,0000,0000,3070,0013,+,01010,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T31, ,TBC,LE,D, ,V   , ,   ,FA, ,TBC,LE,D, ,      ,0000,0000,3070,    ,+,01500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,T,T31, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1180,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,T,T31, ,NIMAS,LE,E,A,E C , ,   ,CF, ,TBC,LE,D, ,      ,0863,0201,0870,0120, ,05500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:080,T,T31, ,NIMAS,LE,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2670,0050,+,05500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
RWY:RW13 ,     ,      ,00578, ,    , ,   ;N38535551,W006500462,0000;
RWY:RW31 ,     ,      ,00608, ,ITL ,1,   ;N38530164,W006482842,0000;
